Species	Presence
Hemidactylus_adensis	O
Hemidactylus_afarensis	O
Hemidactylus_albopunctatus	O
Hemidactylus_alfarraji	O
Hemidactylus_alkiyumii	O
Hemidactylus_asirensis	O
Hemidactylus_awashensis	O
Hemidactylus_barbierii	O
Hemidactylus_barodanus	O
Hemidactylus_citernii	O
Hemidactylus_dawudazraqi	O
Hemidactylus_dracaenacolus	O
Hemidactylus_festivus	O
Hemidactylus_forbesii	O
Hemidactylus_foudaii	O
Hemidactylus_funaiolii	O
Hemidactylus_granchii	O
Hemidactylus_granosus	O
Hemidactylus_granti	O
Hemidactylus_hajarensis	H
Hemidactylus_homoeolepis	O
Hemidactylus_inexpectatus	O
Hemidactylus_inintellectus	O
Hemidactylus_isolepis	O
Hemidactylus_jumailiae	O
Hemidactylus_kurdicus	O
Hemidactylus_laevis	O
Hemidactylus_lanzai	O
Hemidactylus_lavadeserticus	O
Hemidactylus_lemurinus	O
Hemidactylus_luqueorum	H
Hemidactylus_macropholis	O
Hemidactylus_mandebensis	O
Hemidactylus_masirahensis	O
Hemidactylus_mindiae	O
Hemidactylus_minutus	O
Hemidactylus_montanus	O
Hemidactylus_ophiolepis	O
Hemidactylus_ophiolepoides	O
Hemidactylus_oxyrhinus	O
Hemidactylus_pauciporosus	O
Hemidactylus_paucituberculatus	O
Hemidactylus_persicus	O
Hemidactylus_pumilio	O
Hemidactylus_robustus	O
Hemidactylus_saba	O
Hemidactylus_shihraensis	O
Hemidactylus_sinaitus	O
Hemidactylus_somalicus	O
Hemidactylus_squamulatus	O
Hemidactylus_turcicus	O
Hemidactylus_ulii	O
Hemidactylus_yerburii	O	
