Species	Presence
Pristurus_abdelkuri	O
Pristurus_adrarensis	O
Pristurus_carteri	O
Pristurus_celerrimus	H
Pristurus_collaris	O
Pristurus_crucifer	O
Pristurus_flavipunctatus	O
Pristurus_gallagheri	H
Pristurus_guichardi	O
Pristurus_insignis	O
Pristurus_insignoides	O
Pristurus_masirahensis	O
Pristurus_minimus	O
Pristurus_obsti	O
Pristurus_ornithocephalus	O
Pristurus_phillipsii	O
Pristurus_popovi	O
Pristurus_rupestris	H
Pristurus_samhaensis	O
Pristurus_sokotranus	O
Pristurus_somalicus	O
Pristurus_sp1	O
Pristurus_sp10	O
Pristurus_sp11	O
Pristurus_sp12	O
Pristurus_sp2	H
Pristurus_sp3	H
Pristurus_sp4	H
Pristurus_sp5	H
Pristurus_sp6	O
Pristurus_sp7	O
Pristurus_sp8	O
Pristurus_sp9	O
