Name elev lineage
S1762 15.00000 P.rupestris_3
S7255 723.00000 P.rupestris_45
S7818 240.00000 P.rupestris_3
S7813 1660.00000 P.rupestris_67
CN10289 5.00000 P.rupestris_1011
UAE45 647.00000 P.rupestris_15
S2137 420.00000 P.rupestris_9
S7204 624.00000 P.rupestris_8
CN3582 261.00000 P.rupestris_3
S6134 576.00000 P.rupestris_1
S7310 125.00000 P.rupestris_3
CN3480 1356.00000 P.rupestris_67
CN4290 390.00000 P.rupestris_15
CN5823 389.00000 P.rupestris_1011
CN4374 274.00000 P.rupestris_8
CN10294 3.00000 P.rupestris_3
CN7227 1792.00000 P.rupestris_1
S7181 614.00000 P.rupestris_45
S7456 11.00000 P.rupestris_3
S7507 1589.00000 P.rupestris_67
CN4060 399.00000 P.rupestris_1011
S2126 420.00000 P.rupestris_9
S7457 646.00000 P.rupestris_9
CN3737 1502.00000 P.rupestris_67
S7200 1088.00000 P.rupestris_67
CN225 205.00000 P.rupestris_1011
CN3420 238.00000 P.rupestris_1011
CN3476 362.00000 P.rupestris_1011
S7207 401.00000 P.rupestris_1011
CN663 1019.00000 P.rupestris_3
S7256 51.00000 P.rupestris_3
S7861 359.00000 P.rupestris_45
S7211 2042.00000 P.rupestris_67
S7228 1317.00000 P.rupestris_67
CN151 693.00000 P.rupestris_1011
CN8380 622.00000 P.rupestris_1011
CN2635 6.00000 P.rupestris_8
CN4055 608.00000 P.rupestris_1
S7266 1278.00000 P.rupestris_45
S7509 1692.00000 P.rupestris_67
S7539 2035.00000 P.rupestris_67
CN137 2140.00000 P.rupestris_14
CN39 564.00000 P.rupestris_12
CN3597 489.00000 P.rupestris_9
CN7179 552.00000 P.rupestris_9
CN10288 7.00000 P.rupestris_3
CN10299 3.00000 P.rupestris_3
S7229 2042.00000 P.rupestris_67
AO20 416.00000 P.rupestris_9
CN145 165.00000 P.rupestris_8
CN5829 517.00000 P.rupestris_45
CN8983 1679.00000 P.rupestris_3
CN175 2038.00000 P.rupestris_67
S7510 1692.00000 P.rupestris_67
CN4293 455.00000 P.rupestris_12
CN4277 202.00000 P.rupestris_8
CN4304 565.00000 P.rupestris_9
CN190 1897.00000 P.rupestris_1
CN3424 325.00000 P.rupestris_45
CN4219 314.00000 P.rupestris_15
CN4050 647.00000 P.rupestris_9
CN7266 165.00000 P.rupestris_8
S7803 268.00000 P.rupestris_3
CN3701 1357.00000 P.rupestris_67
CN4240 1689.00000 P.rupestris_67
S7264 1318.00000 P.rupestris_67
CN3562 452.00000 P.rupestris_12
S7220 454.00000 P.rupestris_1011
CN4297 455.00000 P.rupestris_8
S7744 458.00000 P.rupestris_9
CN8286 2038.00000 P.rupestris_67
CN114 455.00000 P.rupestris_12
CN133 239.00000 P.rupestris_1011
CN7125 2265.00000 P.rupestris_14
S6102 489.00000 P.rupestris_13
S7546 1416.00000 P.rupestris_15
S7460 576.00000 P.rupestris_9
S6120 1155.00000 P.rupestris_1
S7193 1601.00000 P.rupestris_67
S7198 1441.00000 P.rupestris_67
CN10298 5.00000 P.rupestris_1011
S7258 1320.00000 P.rupestris_15
CN192 1679.00000 P.rupestris_16
CN4181 251.00000 P.rupestris_3
S7745 1091.00000 P.rupestris_1
CN4244 481.00000 P.rupestris_1011
CN5855 2107.00000 P.rupestris_14
S7233 655.00000 P.rupestris_1011
UAE34 494.00000 P.rupestris_1011
S7257 1679.00000 P.rupestris_16
S7450 1925.00000 P.rupestris_45
S6123 749.00000 P.rupestris_13
S7167b 431.00000 P.rupestris_1011
S7533 559.00000 P.rupestris_13
S7833 591.00000 P.rupestris_15
S7226 2042.00000 P.rupestris_67
S7563 1551.00000 P.rupestris_67
S7659 369.00000 P.rupestris_1011
CN170 635.00000 P.rupestris_8
CN3488 428.00000 P.rupestris_3
CN5853 218.00000 P.rupestris_3
S7239 1032.00000 P.rupestris_1
S7809 1879.00000 P.rupestris_1
S7528 2218.00000 P.rupestris_14
S7736 1933.00000 P.rupestris_14
S7896 713.00000 P.rupestris_1
S7547 1320.00000 P.rupestris_67
CN56 424.00000 P.rupestris_1011
CN3733 273.00000 P.rupestris_9
S7072 11.00000 P.rupestris_8
S7187 147.00000 P.rupestris_8
S9013 125.00000 P.rupestris_8
S7352 990.00000 P.rupestris_1
S7432 486.00000 P.rupestris_45
S7787 240.00000 P.rupestris_3
S7231 2042.00000 P.rupestris_67
S6083 1926.00000 P.rupestris_14
CN5850 810.00000 P.rupestris_3
S7525 657.00000 P.rupestris_3
S7527 1367.00000 P.rupestris_3
S7545 112.00000 P.rupestris_3
CN4287 392.00000 P.rupestris_15
S7526 559.00000 P.rupestris_13
S7739 607.00000 P.rupestris_15
S7717 38.00000 P.rupestris_8
CN3584 127.00000 P.rupestris_3
CN375 361.00000 P.rupestris_45
CN4046 502.00000 P.rupestris_3
CN91 71.00000 P.rupestris_3
S7489 1490.00000 P.rupestris_1
S7276 201.00000 P.rupestris_8
S7778 5.00000 P.rupestris_8
S7797 5.00000 P.rupestris_8
CN3498 114.00000 P.rupestris_3
S6040 51.00000 P.rupestris_3
S6101 1931.00000 P.rupestris_1
S7285 996.00000 P.rupestris_1
S7406 321.00000 P.rupestris_45
S9021 565.00000 P.rupestris_45
S7989 607.00000 P.rupestris_15
S7497 35.00000 P.rupestris_8
CN7121 243.00000 P.rupestris_45
CN80 21.00000 P.rupestris_3
S7251 1289.00000 P.rupestris_45
S7544 511.00000 P.rupestris_3
S7675 51.00000 P.rupestris_3
S7768 486.00000 P.rupestris_45
S7882 310.00000 P.rupestris_1011
S7246 127.00000 P.rupestris_8
CN4296 218.00000 P.rupestris_3
S9000 1676.00000 P.rupestris_3
S9016 392.00000 P.rupestris_3
S6060 576.00000 P.rupestris_12
S7424 365.00000 P.rupestris_1011
S7716 278.00000 P.rupestris_9
CN63 1832.00000 P.rupestris_45
CN7210 2098.00000 P.rupestris_45
S7477 713.00000 P.rupestris_1
S7551 559.00000 P.rupestris_13
S7714 607.00000 P.rupestris_15
CN12693 1756.00000 outgroup
CN518 794.00000 outgroup
JEM170 2067.00000 outgroup
CN519 794.00000 outgroup
JEM227 1272.00000 outgroup
JEM422 379.00000 outgroup
CN517 794.00000 outgroup
JEM238 1102.00000 outgroup
JEM125 1007.00000 outgroup
JEM239 1102.00000 outgroup
JEM169 1416.00000 outgroup
JEM442 1169.00000 outgroup
CN12676 828.00000 outgroup
