Name New_name
CAS227612 CAS227612_C
CAS227614 CAS227614_C
AO17 AO17_C
S7151 S7151_C
S7076 S7076_C
S6061 S6061_C
CN2867 CN2867_C
CN3630 CN3630_C
CN413 CN413_C
AO155 AO155_C
AO58 AO58_C
AO59 AO59_C
S8068 S8068_C
S7771 S7771_C
S6056 S6056_C
S7155 S7155_C
S6080 S6080_C
S7843 S7843_C
CN7142 CN7142_C
CN3690 CN3690_C
CN3626 CN3626_C
CN3659 CN3659_C
CN3691 CN3691_C
CN3637 CN3637_C
CN3688 CN3688_C
CN3614 CN3614_C
CN2912 CN2912_C
CN726 CN726_C
CN727 CN727_C
CN650 CN650_C
CN5994 CN5994_C
S5905 S5905_E
S5906 S5906_E
CN4081 CN4081_E
CN10770 CN10770_E
CN10777 CN10777_E
S1693 S1693_E
S1782 S1782_E
S2064 S2064_E
S2139 S2139_E
S1772 S1772_E
S1880 S1880_E
S1969 S1969_E
S1660 S1660_E
S7124 S7124_E
S7336 S7336_E
S7335 S7335_E
S7170 S7170_E
S7184 S7184_E
S7154 S7154_E
S7321 S7321_E
CN4080 CN4080_E
CN4092 CN4092_E
