Name2 Name
Ld0149_Pristurus.rupestris.rupestris_S1762 S1762
Ld0149_Pristurus.rupestris.rupestris_S7255 S7255
Ld0149_Pristurus.rupestris.rupestris_S7818 S7818
Ld0149_Pristurus.sp2_S7813 S7813
Ld0149_Pristurus.sp3_CN10289 CN10289
Ld0149_Pristurus.sp3_UAE45 UAE45
Ld0149_Pristurus.sp5_S2137 S2137
Ld0149_Pristurus.sp5_S7204 S7204
Ld0150_Pristurus.rupestris.rupestris_CN3582 CN3582
Ld0150_Pristurus.rupestris.rupestris_S6134 S6134
Ld0150_Pristurus.rupestris.rupestris_S7310 S7310
Ld0150_Pristurus.sp2_CN3480 CN3480
Ld0150_Pristurus.sp3_CN4290 CN4290
Ld0150_Pristurus.sp3_CN5823 CN5823
Ld0150_Pristurus.sp5_CN4374 CN4374
Ld0151_Pristurus.rupestris.rupestris_CN10294 CN10294
Ld0151_Pristurus.rupestris.rupestris_CN7227 CN7227
Ld0151_Pristurus.rupestris.rupestris_S7181 S7181
Ld0151_Pristurus.rupestris.rupestris_S7456 S7456
Ld0151_Pristurus.sp2_S7507 S7507
Ld0151_Pristurus.sp3_CN4060 CN4060
Ld0151_Pristurus.sp5_S2126 S2126
Ld0151_Pristurus.sp5_S7457 S7457
Ld0152_Pristurus.sp2_CN3737 CN3737
Ld0152_Pristurus.sp2_S7200 S7200
Ld0152_Pristurus.sp3_CN225 CN225
Ld0152_Pristurus.sp3_CN3420 CN3420
Ld0152_Pristurus.sp3_CN3476 CN3476
Ld0152_Pristurus.sp3_S7207 S7207
Ld0153_Pristurus.rupestris.rupestris_CN663 CN663
Ld0153_Pristurus.rupestris.rupestris_S7256 S7256
Ld0153_Pristurus.rupestris.rupestris_S7861 S7861
Ld0153_Pristurus.sp2_S7211 S7211
Ld0153_Pristurus.sp2_S7228 S7228
Ld0153_Pristurus.sp3_CN151 CN151
Ld0153_Pristurus.sp3_CN8380 CN8380
Ld0153_Pristurus.sp5_CN2635 CN2635
Ld0154_Pristurus.rupestris.rupestris_CN4055 CN4055
Ld0154_Pristurus.rupestris.rupestris_S7266 S7266
Ld0154_Pristurus.sp2_S7509 S7509
Ld0154_Pristurus.sp2_S7539 S7539
Ld0154_Pristurus.sp3_CN137 CN137
Ld0154_Pristurus.sp3_CN39 CN39
Ld0154_Pristurus.sp5_CN3597 CN3597
Ld0154_Pristurus.sp5_CN7179 CN7179
Ld0155_Pristurus.rupestris.rupestris_CN10288 CN10288
Ld0155_Pristurus.rupestris.rupestris_CN10299 CN10299
Ld0155_Pristurus.sp2_S7229 S7229
Ld0155_Pristurus.sp5_AO20 AO20
Ld0155_Pristurus.sp5_CN145 CN145
Ld0156_Pristurus.rupestris.rupestris_CN5829 CN5829
Ld0156_Pristurus.rupestris.rupestris_CN8983 CN8983
Ld0156_Pristurus.sp2_CN175 CN175
Ld0156_Pristurus.sp2_S7510 S7510
Ld0156_Pristurus.sp3_CN4293 CN4293
Ld0156_Pristurus.sp5_CN4277 CN4277
Ld0156_Pristurus.sp5_CN4304 CN4304
Ld0157_Pristurus.rupestris.rupestris_CN190 CN190
Ld0157_Pristurus.rupestris.rupestris_CN3424 CN3424
Ld0157_Pristurus.sp3_CN4219 CN4219
Ld0157_Pristurus.sp5_CN4050 CN4050
Ld0157_Pristurus.sp5_CN7266 CN7266
Ld0158_Pristurus.rupestris.rupestris_S7803 S7803
Ld0158_Pristurus.sp2_CN3701 CN3701
Ld0158_Pristurus.sp2_CN4240 CN4240
Ld0158_Pristurus.sp2_S7264 S7264
Ld0158_Pristurus.sp3_CN3562 CN3562
Ld0158_Pristurus.sp3_S7220 S7220
Ld0158_Pristurus.sp5_CN4297 CN4297
Ld0158_Pristurus.sp5_S7744 S7744
Ld0159_Pristurus.sp2_CN8286 CN8286
Ld0159_Pristurus.sp3_CN114 CN114
Ld0159_Pristurus.sp3_CN133 CN133
Ld0159_Pristurus.sp3_CN7125 CN7125
Ld0159_Pristurus.sp3_S6102 S6102
Ld0159_Pristurus.sp3_S7546 S7546
Ld0159_Pristurus.sp5_S7460 S7460
Ld0160_Pristurus.rupestris.rupestris_S6120 S6120
Ld0160_Pristurus.sp2_S7193 S7193
Ld0160_Pristurus.sp2_S7198 S7198
Ld0160_Pristurus.sp3_CN10298 CN10298
Ld0160_Pristurus.sp3_S7258 S7258
Ld0160_Pristurus.sp4_CN192 CN192
Ld0161_Pristurus.rupestris.rupestris_CN4181 CN4181
Ld0161_Pristurus.rupestris.rupestris_S7745 S7745
Ld0161_Pristurus.sp3_CN4244 CN4244
Ld0161_Pristurus.sp3_CN5855 CN5855
Ld0161_Pristurus.sp3_S7233 S7233
Ld0161_Pristurus.sp3_UAE34 UAE34
Ld0161_Pristurus.sp4_S7257 S7257
Ld0162_Pristurus.rupestris.rupestris_S7450 S7450
Ld0162_Pristurus.sp3_S6123 S6123
Ld0162_Pristurus.sp3_S7167b S7167b
Ld0162_Pristurus.sp3_S7533 S7533
Ld0162_Pristurus.sp3_S7833 S7833
Ld0163_Pristurus.sp2_S7226 S7226
Ld0163_Pristurus.sp2_S7563 S7563
Ld0163_Pristurus.sp3_S7659 S7659
Ld0163_Pristurus.sp5_CN170 CN170
Ld0164_Pristurus.rupestris.rupestris_CN3488 CN3488
Ld0164_Pristurus.rupestris.rupestris_CN5853 CN5853
Ld0164_Pristurus.rupestris.rupestris_S7239 S7239
Ld0164_Pristurus.rupestris.rupestris_S7809 S7809
Ld0164_Pristurus.sp3_S7528 S7528
Ld0164_Pristurus.sp3_S7736 S7736
Ld0165_Pristurus.rupestris.rupestris_S7896 S7896
Ld0165_Pristurus.sp2_S7547 S7547
Ld0165_Pristurus.sp3_CN56 CN56
Ld0165_Pristurus.sp5_CN3733 CN3733
Ld0165_Pristurus.sp5_S7072 S7072
Ld0165_Pristurus.sp5_S7187 S7187
Ld0165_Pristurus.sp5_S9013 S9013
Ld0166_Pristurus.rupestris.rupestris_S7352 S7352
Ld0166_Pristurus.rupestris.rupestris_S7432 S7432
Ld0166_Pristurus.rupestris.rupestris_S7787 S7787
Ld0166_Pristurus.sp2_S7231 S7231
Ld0166_Pristurus.sp3_S6083 S6083
Ld0167_Pristurus.rupestris.rupestris_CN5850 CN5850
Ld0167_Pristurus.rupestris.rupestris_S7525 S7525
Ld0167_Pristurus.rupestris.rupestris_S7527 S7527
Ld0167_Pristurus.rupestris.rupestris_S7545 S7545
Ld0167_Pristurus.sp3_CN4287 CN4287
Ld0167_Pristurus.sp3_S7526 S7526
Ld0167_Pristurus.sp3_S7739 S7739
Ld0167_Pristurus.sp5_S7717 S7717
Ld0168_Pristurus.rupestris.rupestris_CN3584 CN3584
Ld0168_Pristurus.rupestris.rupestris_CN375 CN375
Ld0168_Pristurus.rupestris.rupestris_CN4046 CN4046
Ld0168_Pristurus.rupestris.rupestris_CN91 CN91
Ld0168_Pristurus.rupestris.rupestris_S7489 S7489
Ld0168_Pristurus.sp5_S7276 S7276
Ld0168_Pristurus.sp5_S7778 S7778
Ld0168_Pristurus.sp5_S7797 S7797
Ld0169_Pristurus.rupestris.rupestris_CN3498 CN3498
Ld0169_Pristurus.rupestris.rupestris_S6040 S6040
Ld0169_Pristurus.rupestris.rupestris_S6101 S6101
Ld0169_Pristurus.rupestris.rupestris_S7285 S7285
Ld0169_Pristurus.rupestris.rupestris_S7406 S7406
Ld0169_Pristurus.rupestris.rupestris_S9021 S9021
Ld0169_Pristurus.sp3_S7989 S7989
Ld0169_Pristurus.sp5_S7497 S7497
Ld0170_Pristurus.rupestris.rupestris_CN7121 CN7121
Ld0170_Pristurus.rupestris.rupestris_CN80 CN80
Ld0170_Pristurus.rupestris.rupestris_S7251 S7251
Ld0170_Pristurus.rupestris.rupestris_S7544 S7544
Ld0170_Pristurus.rupestris.rupestris_S7675 S7675
Ld0170_Pristurus.rupestris.rupestris_S7768 S7768
Ld0170_Pristurus.sp3_S7882 S7882
Ld0170_Pristurus.sp5_S7246 S7246
Ld0171_Pristurus.rupestris.rupestris_CN4296 CN4296
Ld0171_Pristurus.rupestris.rupestris_S9000 S9000
Ld0171_Pristurus.rupestris.rupestris_S9016 S9016
Ld0171_Pristurus.sp3_S6060 S6060
Ld0171_Pristurus.sp3_S7424 S7424
Ld0171_Pristurus.sp5_S7716 S7716
Ld0172_Pristurus.rupestris.rupestris_CN63 CN63
Ld0172_Pristurus.rupestris.rupestris_CN7210 CN7210
Ld0172_Pristurus.rupestris.rupestris_S7477 S7477
Ld0172_Pristurus.sp3_S7551 S7551
Ld0172_Pristurus.sp3_S7714 S7714
Ld0179_Pristurus.flavipunctatus.sp6_CN12693_P.flav_022 CN12693
Ld0179_Pristurus.flavipunctatus_CN518_P.flav_003 CN518
Ld0180_Pristurus.flavipunctatus.sp11_JEM170_P.flav_026 JEM170
Ld0180_Pristurus.flavipunctatus_CN519_P.flav_004 CN519
Ld0182_Pristurus.flavipunctatus.sp10_JEM227_P.flav_042 JEM227
Ld0182_Pristurus.flavipunctatus.sp11_JEM422_P.flav_054 JEM422
Ld0182_Pristurus.flavipunctatus_CN517_P.flav_002 CN517
Ld0183_Pristurus.flavipunctatus.sp10_JEM238_P.flav_029 JEM238
Ld0184_Pristurus.flavipunctatus.sp10_JEM125_P.flav_027 JEM125
Ld0184_Pristurus.flavipunctatus.sp10_JEM239_P.flav_030 JEM239
