Name low mid high
CN14 0 1 0
CN196 0 0 1
CN2593 0 0 1
CN3651 0 1 0
CN4030 0 0 1
CN4045 0 0 1
CN5819 0 0 1
CN5838 0 0 1
CN6982 0 0 1
CN6987 0 0 1
CN7084 0 0 1
CN7101 0 0 1
CN717 1 0 0
CN7217 0 0 1
CN7220 0 0 1
CN7224 0 0 1
CN7263 0 0 1
CN7267 0 0 1
CN7270 0 0 1
CN7275 0 0 1
CN7278 0 0 1
CN7727 0 0 1
CN7742 0 0 1
CN8261 0 0 1
CN8265 0 0 1
CN8267 0 0 1
CN8268 0 0 1
CN8272 0 0 1
CN8277 0 0 1
CN8279 0 0 1
CN8994 0 0 1
CN9003 0 0 1
CN994 1 0 0
S1959 0 1 0
S7208 0 1 0
S7356 0 1 0
S7361 0 1 0
S7750 0 1 0
S7846 0 1 0
ZFMK84264 0 1 0
CN10790 1 0 0
CN182 1 0 0
CN3190 1 0 0
CN4013 1 0 0
CN4043 1 0 0
CN416 1 0 0
CN4264 1 0 0
CN4310 1 0 0
OM04_2010_88 1 0 0
S7252 0 1 0
S7554 0 1 0
S7555 0 1 0
FTHM002705 0 0 1
MVZ234315 0 1 0
MVZ234325 0 1 0
MVZ234326 0 1 0
MVZ234330 0 1 0
CAS250891 1 0 0
CAS250892 1 0 0
CAS250913 0 1 0
CAS251185 0 1 0
CAS255174 0 1 0
CAS255176 0 1 0
CN10292 1 0 0
CN10293 1 0 0
CN10295 1 0 0
CN10308 1 0 0
CN126 0 1 0
CN195 1 0 0
CN204 1 0 0
CN217 1 0 0
CN2702 1 0 0
CN2997 0 1 0
CN3462 1 0 0
CN3681 1 0 0
CN3686 1 0 0
CN3728 1 0 0
CN3739 1 0 0
CN3901 0 1 0
CN3903 1 0 0
CN3904 0 1 0
CN3905 1 0 0
CN3966 0 1 0
CN4024 1 0 0
CN4167 1 0 0
CN4179 1 0 0
CN4313 1 0 0
CN5815 1 0 0
CN5817 1 0 0
CN5844 1 0 0
CN7106 1 0 0
CN7126 0 1 0
CN742 0 1 0
CN744 0 1 0
CN749 0 1 0
CN7627 0 1 0
CN7823 1 0 0
CN7945 0 1 0
CN797 0 1 0
CN8036 1 0 0
CN8191 0 1 0
CN8195 0 1 0
CN8198 0 1 0
CN8370 1 0 0
CN8387 0 1 0
CN840 0 1 0
CN847 0 1 0
CN861 0 1 0
CN8631 0 1 0
CN864 0 1 0
CN8673 1 0 0
CN89 0 1 0
CN9008 1 0 0
CN9009 1 0 0
CN96 1 0 0
S7445 1 0 0
S7662 1 0 0
S7734 1 0 0
S7866 1 0 0
S8088 1 0 0
TW1027 1 0 0
UAE2 0 1 0
UAE20 1 0 0
UAE26 1 0 0
UAE27 1 0 0
UAE3 0 1 0
