Name low mid high
CAS227612 0 1 0
CAS227614 0 1 0
AO17 0 1 0
S7151 0 1 0
S7076 0 1 0
S6061 0 1 0
CN2867 0 1 0
CN3630 0 1 0
CN413 0 0 1
AO155 0 0 1
AO58 0 0 1
AO59 0 0 1
S8068 0 1 0
S7771 0 1 0
S6056 0 1 0
S7155 0 1 0
S6080 0 1 0
S7843 0 1 0
CN7142 0 0 1
CN3690 0 1 0
CN3626 0 1 0
CN3659 0 1 0
CN3691 0 1 0
CN3637 0 1 0
CN3688 0 1 0
CN3614 0 1 0
CN2912 0 0 1
CN726 0 0 1
CN727 0 0 1
CN650 0 0 1
CN5994 0 0 1
S5905 0 1 0
S5906 0 1 0
CN4081 1 0 0
CN10770 1 0 0
CN10777 1 0 0
S1693 1 0 0
S1782 1 0 0
S2064 0 1 0
S2139 0 1 0
S1772 0 1 0
S1880 0 1 0
S1969 1 0 0
S1660 1 0 0
S7124 0 1 0
S7336 0 1 0
S7335 0 1 0
S7170 0 1 0
S7184 0 0 1
S7154 0 0 1
S7321 0 0 1
CN4080 0 1 0
CN4092 1 0 0
