Name low mid high
S1762 1 0 0
S7255 0 1 0
S7818 1 0 0
S7813 0 0 1
CN10289 1 0 0
UAE45 0 1 0
S2137 0 1 0
S7204 0 1 0
CN3582 1 0 0
S6134 0 1 0
S7310 1 0 0
CN3480 0 1 0
CN4290 0 1 0
CN5823 0 1 0
CN4374 1 0 0
CN10294 1 0 0
CN7227 0 0 1
S7181 0 1 0
S7456 1 0 0
S7507 0 0 1
CN4060 0 1 0
S2126 0 1 0
S7457 0 1 0
CN3737 0 0 1
S7200 0 1 0
CN225 1 0 0
CN3420 1 0 0
CN3476 0 1 0
S7207 0 1 0
CN663 0 1 0
S7256 1 0 0
S7861 0 1 0
S7211 0 0 1
S7228 0 1 0
CN151 0 1 0
CN8380 0 1 0
CN2635 1 0 0
CN4055 0 1 0
S7266 0 1 0
S7509 0 0 1
S7539 0 0 1
CN137 0 0 1
CN39 0 1 0
CN3597 0 1 0
CN7179 0 1 0
CN10288 1 0 0
CN10299 1 0 0
S7229 0 0 1
AO20 0 1 0
CN145 1 0 0
CN5829 0 1 0
CN8983 0 0 1
CN175 0 0 1
S7510 0 0 1
CN4293 0 1 0
CN4277 1 0 0
CN4304 0 1 0
CN190 0 0 1
CN3424 0 1 0
CN4219 0 1 0
CN4050 0 1 0
CN7266 1 0 0
S7803 1 0 0
CN3701 0 1 0
CN4240 0 0 1
S7264 0 1 0
CN3562 0 1 0
S7220 0 1 0
CN4297 0 1 0
S7744 0 1 0
CN8286 0 0 1
CN114 0 1 0
CN133 1 0 0
CN7125 0 0 1
S6102 0 1 0
S7546 0 1 0
S7460 0 1 0
S6120 0 1 0
S7193 0 0 1
S7198 0 1 0
CN10298 1 0 0
S7258 0 1 0
CN192 0 0 1
CN4181 1 0 0
S7745 0 1 0
CN4244 0 1 0
CN5855 0 0 1
S7233 0 1 0
UAE34 0 1 0
S7257 0 0 1
S7450 0 0 1
S6123 0 1 0
S7167b 0 1 0
S7533 0 1 0
S7833 0 1 0
S7226 0 0 1
S7563 0 0 1
S7659 0 1 0
CN170 0 1 0
CN3488 0 1 0
CN5853 1 0 0
S7239 0 1 0
S7809 0 0 1
S7528 0 0 1
S7736 0 0 1
S7896 0 1 0
S7547 0 1 0
CN56 0 1 0
CN3733 1 0 0
S7072 1 0 0
S7187 1 0 0
S9013 1 0 0
S7352 0 1 0
S7432 0 1 0
S7787 1 0 0
S7231 0 0 1
S6083 0 0 1
CN5850 0 1 0
S7525 0 1 0
S7527 0 1 0
S7545 1 0 0
CN4287 0 1 0
S7526 0 1 0
S7739 0 1 0
S7717 1 0 0
CN3584 1 0 0
CN375 0 1 0
CN4046 0 1 0
CN91 1 0 0
S7489 0 1 0
S7276 1 0 0
S7778 1 0 0
S7797 1 0 0
CN3498 1 0 0
S6040 1 0 0
S6101 0 0 1
S7285 0 1 0
S7406 0 1 0
S9021 0 1 0
S7989 0 1 0
S7497 1 0 0
CN7121 1 0 0
CN80 1 0 0
S7251 0 1 0
S7544 0 1 0
S7675 1 0 0
S7768 0 1 0
S7882 0 1 0
S7246 1 0 0
CN4296 1 0 0
S9000 0 0 1
S9016 0 1 0
S6060 0 1 0
S7424 0 1 0
S7716 1 0 0
CN63 0 0 1
CN7210 0 0 1
S7477 0 1 0
S7551 0 1 0
S7714 0 1 0
CN12693 0 0 1
CN518 0 1 0
JEM170 0 0 1
CN519 0 1 0
JEM227 0 1 0
JEM422 0 1 0
CN517 0 1 0
JEM238 0 1 0
JEM125 0 1 0
JEM239 0 1 0
JEM169 0 1 0
JEM442 0 1 0
CN12676 0 1 0
