Name low mid high
CN652 0 1 0
CN239 0 1 0
CN2960 0 1 0
CN3951 1 0 0
CN4068 0 1 0
CN5959 1 0 0
CN708 1 0 0
CN8173 0 1 0
CN8178 0 1 0
CN8203 0 1 0
CN8695 1 0 0
CN8699 1 0 0
CN8712 1 0 0
CN892 1 0 0
CN9016 1 0 0
CN9021 1 0 0
CN9028 1 0 0
CN9029 1 0 0
CN9030 1 0 0
UAE22 1 0 0
UAE37 1 0 0
UAE6 0 1 0
CN9013 0 1 0
CN668 0 1 0
S1692 1 0 0
S1794 1 0 0
S1963 1 0 0
S7052 0 1 0
S7093 1 0 0
S7652 0 1 0
CN3448 0 1 0
CN4066 1 0 0
CN680 1 0 0
CN771 1 0 0
CN8163 0 1 0
CN858 1 0 0
S1164 1 0 0
S1991 1 0 0
S2046 0 1 0
S587 1 0 0
CN4079 1 0 0
CN7596 0 1 0
CN767 1 0 0
CN779 1 0 0
CN8121 0 1 0
CN8140 0 1 0
UAE41 0 1 0
UAE42 0 1 0
UAE43 0 1 0
CN9232 0 1 0
OM04_2010_14 0 1 0
OM04_2010_67 0 1 0
CN3309 0 1 0
S1895 0 1 0
S2135 0 1 0
CN149 1 0 0
CN236 0 1 0
CN3411 0 1 0
CN3780 0 1 0
CN3879 0 1 0
CN3911 1 0 0
CN3918 0 1 0
CN3949 0 1 0
CN3950 0 0 1
CN3954 0 0 1
CN666 0 1 0
CN722 0 1 0
CN830 0 1 0
CN926 0 1 0
OM04_2010_12 0 1 0
AO60 0 0 1
AO63 0 1 0
