Name	name
CN14	C
CN196	C
CN2593	C
CN3651	C
CN4030	C
CN4045	C
CN5819	C
CN5838	C
CN6982	C
CN6987	C
CN7084	C
CN7101	C
CN717	C
CN7217	C
CN7220	C
CN7224	C
CN7263	C
CN7267	C
CN7270	C
CN7275	C
CN7278	C
CN7727	C
CN7742	C
CN8261	C
CN8265	C
CN8267	C
CN8268	C
CN8272	C
CN8277	C
CN8279	C
CN8994	C
CN9003	C
CN994	C
S1959	C
S7208	C
S7356	C
S7361	C
S7750	C
S7846	C
ZFMK84264	C
CN10790	E
CN182	E
CN3190	E
CN4013	E
CN4043	E
CN416	E
CN4264	E
CN4310	E
OM04_2010_88	E
S7252	E
S7554	E
S7555	E
FTHM002705	I
MVZ234315	I
MVZ234325	I
MVZ234326	I
MVZ234330	I
CAS250891	W
CAS250892	W
CAS250913	W
CAS251185	W
CAS255174	W
CAS255176	W
CN10292	W
CN10293	W
CN10295	W
CN10308	W
CN126	W
CN195	W
CN204	W
CN217	W
CN2702	W
CN2997	W
CN3462	W
CN3681	W
CN3686	W
CN3728	W
CN3739	W
CN3901	W
CN3903	W
CN3904	W
CN3905	W
CN3966	W
CN4024	W
CN4167	W
CN4179	W
CN4313	W
CN5815	W
CN5817	W
CN5844	W
CN7106	W
CN7126	W
CN742	W
CN744	W
CN749	W
CN7627	W
CN7823	W
CN7945	W
CN797	W
CN8036	W
CN8191	W
CN8195	W
CN8198	W
CN8370	W
CN8387	W
CN840	W
CN847	W
CN861	W
CN8631	W
CN864	W
CN8673	W
CN89	W
CN9008	W
CN9009	W
CN96	W
S7445	W
S7662	W
S7734	W
S7866	W
S8088	W
TW1027	W
UAE2	W
UAE20	W
UAE26	W
UAE27	W
UAE3	W
