Name low mid high
CN677 1 0 0
S1165 1 0 0
S1755 1 0 0
CN3458 1 0 0
CN870 1 0 0
S8084 1 0 0
S1679 1 0 0
S1786 1 0 0
S2039 1 0 0
CN7879 1 0 0
CN2575 0 1 0
CN664 0 1 0
CN2641 0 1 0
CN3970 1 0 0
CN3750 0 0 1
S7150 0 0 1
CN4226 1 0 0
S7161 0 1 0
CN686 1 0 0
CN8281 1 0 0
CN3986 1 0 0
AO27 0 1 0
OM04_2010_99 0 1 0
OM04_2010_66 0 1 0
S7584 0 1 0
CN3433 1 0 0
CN7658 1 0 0
CN8681 0 1 0
CN7819 0 1 0
CN8706 1 0 0
CN8355 0 1 0
CN3979 0 0 1
CN7593 0 1 0
CN669 1 0 0
CN3857 1 0 0
CN885 1 0 0
CN709 1 0 0
CN10793 0 1 0
CN10775 1 0 0
CN10791 1 0 0
CN10658 0 1 0
CN10695 1 0 0
TMHC_2013_10_404 1 0 0
TMHC_2013_10_405 1 0 0
CN4215 1 0 0
CN3769 1 0 0
CN10786 0 1 0
