Genus;Species;Species_names_pasted;Species_name;Comments_bernat;H;O;Arabia;NoArabia;;;;;;;;
Ablepharus;pannonicus;Ablepharus_pannonicus;Ablepharus pannonicus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Acanthodactylus;blanfordii;Acanthodactylus_blanfordii;Acanthodactylus blanfordii;Genus Hajars;0;1;1;0;;;;;;;;
Acanthodactylus;boskianus;Acanthodactylus_boskianus;Acanthodactylus boskianus asper;HAJARS_no_endem;0;1;1;0;;;;;;;;
Acanthodactylus;opheodurus;Acanthodactylus_opheodurus;Acanthodactylus opheodurus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Acanthodactylus;schmidti;Acanthodactylus_schmidti;Acanthodactylus schmidti;Genus Hajars;0;1;1;0;;;;;;;;
Acanthosaura;lepidogaster;Acanthosaura_lepidogaster;Acanthosaura lepidogaster;Backbone;0;1;0;1;;;;;;;;
Acrochordus;granulatus;Acrochordus_granulatus;Acrochordus granulatus;Backbone;0;1;0;1;;;;;;;;
Alopoglossus;angulatus;Alopoglossus_angulatus;Alopoglossus angulatus;Backbone;0;1;0;1;;;;;;;;
Anguis;fragilis;Anguis_fragilis;Anguis fragilis;Backbone;0;1;0;1;;;;;;;;
Anilius;scytale;Anilius_scytale;Anilius scytale;Backbone;0;1;0;1;;;;;;;;
Anniella;pulchra;Anniella_pulchra;Anniella pulchra;Backbone;0;1;0;1;;;;;;;;
Anolis;carolinensis;Anolis_carolinensis;Anolis carolinensis;Backbone;0;1;0;1;;;;;;;;
Aprasia;parapulchella;Aprasia_parapulchella;Aprasia parapulchella;Backbone;0;1;0;1;;;;;;;;
Asaccus;andersoni;Asaccus_andersoni;Asaccus andersoni;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;arnoldi;Asaccus_arnoldi;Asaccus arnoldi;Hajars;1;0;1;0;;;;;;;;
Asaccus;caudivolvulus;Asaccus_caudivolvulus;Asaccus caudivolvulus;Hajars;1;0;1;0;;;;;;;;
Asaccus;elisae;Asaccus_elisae;Asaccus elisae;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;gallagheri;Asaccus_gallagheri;Asaccus gallagheri;Hajars;1;0;1;0;;;;;;;;
Asaccus;gardneri;Asaccus_gardneri;Asaccus gardneri;Hajars;1;0;1;0;;;;;;;;
Asaccus;granularis;Asaccus_granularis;Asaccus granularis;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;griseonotus;Asaccus_griseonotus;Asaccus griseonotus;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;iranicus;Asaccus_iranicus;Asaccus iranicus;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;kermanshahensis;Asaccus_kermanshahensis;Asaccus kermanshahensis;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;kurdistanensis;Asaccus_kurdistanensis;Asaccus kurdistanensis;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;margaritae;Asaccus_margaritae;Asaccus margaritae;Hajars;1;0;1;0;;;;;;;;
Asaccus;montanus;Asaccus_montanus;Asaccus montanus;Hajars;1;0;1;0;;;;;;;;
Asaccus;nasrullahi;Asaccus_nasrullahi;Asaccus nasrullahi;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;platyrhynchus;Asaccus_platyrhynchus;Asaccus platyrhynchus;Hajars;1;0;1;0;;;;;;;;
Asaccus;tangestanensis;Asaccus_tangestanensis;Asaccus tangestanensis;Genus Hajars;0;1;0;1;;;;;;;;
Asaccus;zagrosicus;Asaccus_zagrosicus;Asaccus zagrosicus;Genus Hajars;0;1;0;1;;;;;;;;
Aspidoscelis;tigris;Aspidoscelis_tigris;Aspidoscelis tigris;Backbone;0;1;0;1;;;;;;;;
Bipes;canaliculatus;Bipes_canaliculatus;Bipes canaliculatus;Backbone;0;1;0;1;;;;;;;;
Blanus;strauchi;Blanus_strauchi;Blanus strauchi;Backbone;0;1;0;1;;;;;;;;
Bunopus;blanfordii;Bunopus_blanfordii;Bunopus blanfordii;de Pous J27;0;1;0;1;;;;;;;;
Bunopus;crassicauda;Bunopus_crassicauda;Bunopus crassicauda;Genus Hajars;0;1;0;1;;;;;;;;
Bunopus;tuberculatus;Bunopus_tuberculatus;Bunopus tuberculatus;Genus Hajars;0;1;1;0;;;;;;;;
Cadea;blanoides;Cadea_blanoides;Cadea blanoides;Backbone;0;1;0;1;;;;;;;;
Calotes;versicolor;Calotes_versicolor;Calotes versicolor;Backbone;0;1;0;1;;;;;;;;
Carphodactylus;laevis;Carphodactylus_laevis;Carphodactylus laevis;Backbone;0;1;0;1;;;;;;;;
Casarea;dussumieri;Casarea_dussumieri;Casarea dussumieri;Backbone;0;1;0;1;;;;;;;;
Celestus;enneagrammus;Celestus_enneagrammus;Celestus enneagrammus;Backbone;0;1;0;1;;;;;;;;
Cerastes;cerastes;Cerastes_cerastes;Cerastes cerastes;HAJARS_no_endem;0;1;1;0;;;;;;;;
Cerastes;gasperettii;Cerastes_gasperettii;Cerastes gasperettii;HAJARS_no_endem;0;1;1;0;;;;;;;;
Cerastes;vipera;Cerastes_vipera;Cerastes vipera;HAJARS_no_endem;0;1;0;1;;;;;;;;
Chalarodon;madagascariensis;Chalarodon_madagascariensis;Chalarodon madagascariensis;Backbone;0;1;0;1;;;;;;;;
Chalcides;ocellatus;Chalcides_ocellatus;Chalcides ocellatus;HAJARS_no_endem;0;1;1;0;;;;;;;;
Chamaeleo;calyptratus;Chamaeleo_calyptratus;Chamaeleo calyptratus;Backbone;0;1;1;0;;;;;;;;
Colobosaura;modesta;Colobosaura_modesta;Colobosaura modesta;Backbone;0;1;0;1;;;;;;;;
Corytophanes;cristatus;Corytophanes_cristatus;Corytophanes cristatus;Backbone;0;1;0;1;;;;;;;;
Ctenophorus;adelaidensis;Ctenophorus_adelaidensis;Ctenophorus adelaidensis;Backbone;0;1;0;1;;;;;;;;
Cylindrophis;ruffus;Cylindrophis_ruffus;Cylindrophis ruffus;Backbone;0;1;0;1;;;;;;;;
Cyrtopodion;scabrum;Cyrtopodion_scabrum;Cyrtopodion scabrum;HAJARS_no_endem;0;1;1;0;;;;;;;;
Daboia;russelii;Daboia_russelii;Daboia russelii;Backbone;0;1;0;1;;;;;;;;
Dibamus;novaeguineae;Dibamus_novaeguineae;Dibamus novaeguineae;Backbone;0;1;0;1;;;;;;;;
Diplometopon;zarudnyi;Diplometopon_zarudnyi;Diplometopon zarudnyi;Backbone;0;1;1;0;;;;;;;;
Dipsosaurus;dorsalis;Dipsosaurus_dorsalis;Dipsosaurus dorsalis;Backbone;0;1;0;1;;;;;;;;
Echis;borkini;Echis_borkini;Echis borkini;Genus Hajars;0;1;1;0;;;;;;;;
Echis;carinatus;Echis_carinatus;Echis carinatus;Genus Hajars;0;1;1;0;;;;;;;;
Echis;coloratus;Echis_coloratus;Echis coloratus;Genus Hajars;0;1;1;0;;;;;;;;
Echis;jogeri;Echis_jogeri;Echis jogeri;Genus Hajars;0;1;0;1;;;;;;;;
Echis;khosatzkii;Echis_khosatzkii;Echis khosatzkii;Genus Hajars;0;1;1;0;;;;;;;;
Echis;leucogaster;Echis_leucogaster;Echis leucogaster;Genus Hajars;0;1;0;1;;;;;;;;
Echis;ocellatus;Echis_ocellatus;Echis ocellatus;Genus Hajars;0;1;0;1;;;;;;;;
Echis;omanensis;Echis_omanensis;Echis omanensis;Hajars;1;0;1;0;;;;;;;;
Echis;pyramidum;Echis_pyramidum;Echis pyramidum;Genus Hajars;0;1;0;1;;;;;;;;
Enyalioides;laticeps;Enyalioides_laticeps;Enyalioides laticeps;Backbone;0;1;0;1;;;;;;;;
Eryx;jayakari;Eryx_jayakari;Eryx jayakari;Backbone;0;1;1;0;;;;;;;;
Eublepharis;macularius;Eublepharis_macularius;Eublepharis macularius;Backbone;0;1;0;1;;;;;;;;
Gallotia;bravoana;Gallotia_bravoana;Gallotia bravoana;Backbone;0;1;0;1;;;;;;;;
