Species_name	Comments_bernat	H	O
Ablepharus pannonicus	HAJARS_no_endem	0	1
Acanthodactylus blanfordii	Genus Hajars	0	1
Acanthodactylus boskianus asper	HAJARS_no_endem	0	1
Acanthodactylus opheodurus	HAJARS_no_endem	0	1
Acanthodactylus schmidti	Genus Hajars	0	1
Acanthosaura lepidogaster	Backbone	0	1
Acrochordus granulatus	Backbone	0	1
Alopoglossus angulatus	Backbone	0	1
Anguis fragilis	Backbone	0	1
Aprasia parapulchella	Backbone	0	1
Asaccus andersoni	Genus Hajars	0	1
Asaccus arnoldi	Hajars	1	0
Asaccus caudivolvulus	Hajars	1	0
Asaccus elisae	Genus Hajars	0	1
Asaccus gallagheri	Hajars	1	0
Asaccus gardneri	Hajars	1	0
Asaccus granularis	Genus Hajars	0	1
Asaccus griseonotus	Genus Hajars	0	1
Asaccus iranicus	Genus Hajars	0	1
Asaccus kermanshahensis	Genus Hajars	0	1
Asaccus kurdistanensis	Genus Hajars	0	1
Asaccus margaritae	Hajars	1	0
Asaccus montanus	Hajars	1	0
Asaccus nasrullahi	Genus Hajars	0	1
Asaccus platyrhynchus	Hajars	1	0
Asaccus tangestanensis	Genus Hajars	0	1
Asaccus zagrosicus	Genus Hajars	0	1
Anilius scytale	Backbone	0	1
Anniella pulchra	Backbone	0	1
Anolis carolinensis	Backbone	0	1
Bunopus blanfordii	de Pous J27	0	1
Bunopus crassicauda	Genus Hajars	0	1
Bunopus tuberculatus	Genus Hajars	0	1
Aspidoscelis tigris	Backbone	0	1
Bipes canaliculatus	Backbone	0	1
Carphodactylus laevis	Backbone	0	1
Blanus strauchi	Backbone	0	1
Cadea blanoides	Backbone	0	1
Calotes versicolor	Backbone	0	1
Casarea dussumieri	Backbone	0	1
Celestus enneagrammus	Backbone	0	1
Cerastes cerastes	HAJARS_no_endem	0	1
Cerastes gasperettii	HAJARS_no_endem	0	1
Cerastes vipera	HAJARS_no_endem	0	1
Chalarodon madagascariensis	Backbone	0	1
Dibamus novaeguineae	Backbone	0	1
Chalcides ocellatus	HAJARS_no_endem	0	1
Chamaeleo calyptratus	Backbone	0	1
Colobosaura modesta	Backbone	0	1
Corytophanes cristatus	Backbone	0	1
Ctenophorus adelaidensis	Backbone	0	1
Cylindrophis ruffus	Backbone	0	1
Daboia russelii	Backbone	0	1
Diplometopon zarudnyi	Backbone	0	1
Dipsosaurus dorsalis	Backbone	0	1
Echis borkini	Genus Hajars	0	1
Echis carinatus	Genus Hajars	0	1
Echis coloratus	Genus Hajars	0	1
Echis jogeri	Genus Hajars	0	1
Eublepharis macularius	Backbone	0	1
Echis khosatzkii	Genus Hajars	0	1
Echis leucogaster	Genus Hajars	0	1
Echis ocellatus	Genus Hajars	0	1
Echis omanensis	Hajars	1	0
Echis pyramidum	Genus Hajars	0	1
Enyalioides laticeps	Backbone	0	1
Eryx jayakari	Backbone	0	1
Gallotia bravoana	Backbone	0	1
Gallotia caesaris caesaris	Backbone	0	1
Gallotia caesaris gomerae	Backbone	0	1
Gallotia galloti eisentrauti	Backbone	0	1
Hemidactylus adensis	Genus Hajars	0	1
Hemidactylus afarensis	Genus Hajars	0	1
Hemidactylus albopunctatus	Genus Hajars	0	1
Hemidactylus alfarraji	Genus Hajars	0	1
Hemidactylus alkiyumii	Genus Hajars	0	1
Hemidactylus angulatus	Genus Hajars	0	1
Hemidactylus asirensis	Genus Hajars	0	1
Hemidactylus awashensis	Genus Hajars	0	1
Hemidactylus barbierii	Genus Hajars	0	1
Hemidactylus barodanus	Genus Hajars	0	1
Hemidactylus brasilianus	Genus Hajars	0	1
Hemidactylus citernii	Genus Hajars	0	1
Hemidactylus dawudazraqi	Genus Hajars	0	1
Hemidactylus dracaenacolus	Genus Hajars	0	1
Hemidactylus fasciatus	Genus Hajars	0	1
Hemidactylus festivus	Genus Hajars	0	1
Hemidactylus flaviviridis	Genus Hajars	0	1
Hemidactylus forbesii	Genus Hajars	0	1
Hemidactylus foudaii	Genus Hajars	0	1
Hemidactylus frenatus	Genus Hajars	0	1
Hemidactylus funaiolii	Genus Hajars	0	1
Hemidactylus granchii	Genus Hajars	0	1
Hemidactylus granosus	Genus Hajars	0	1
Hemidactylus granti	Genus Hajars	0	1
Hemidactylus hajarensis	Hajars	1	0
Hemidactylus homoeolepis	Genus Hajars	0	1
Hemidactylus imbricatus	Genus Hajars	0	1
Hemidactylus inexpectatus	Genus Hajars	0	1
Hemidactylus inintellectus	Genus Hajars	0	1
Hemidactylus isolepis	Genus Hajars	0	1
