x
Ablepharus pannonicus
Acanthodactylus blanfordii
Acanthodactylus boskianus
Acanthodactylus opheodurus
Acanthodactylus schmidti
Acanthosaura lepidogaster
Acrochordus granulatus
Alopoglossus angulatus
Anguis fragilis
Anilius scytale
Anniella pulchra
Anolis carolinensis
Aprasia parapulchella
Asaccus andersoni
Asaccus arnoldi
Asaccus caudivolvulus
Asaccus elisae
Asaccus gallagheri
Asaccus gardneri
Asaccus granularis
Asaccus griseonotus
Asaccus iranicus
Asaccus kermanshahensis
Asaccus kurdistanensis
Asaccus margaritae
Asaccus montanus
Asaccus nasrullahi
Asaccus platyrhynchus
Asaccus tangestanensis
Asaccus zagrosicus
Aspidoscelis tigris
Bipes canaliculatus
Blanus strauchi
Bunopus blanfordii
Bunopus crassicauda
Bunopus tuberculatus
Cadea blanoides
Calotes versicolor
Carphodactylus laevis
Casarea dussumieri
Celestus enneagrammus
Cerastes cerastes
Cerastes gasperettii
Cerastes vipera
Chalarodon madagascariensis
Chalcides ocellatus
Chamaeleo calyptratus
Colobosaura modesta
Corytophanes cristatus
Ctenophorus adelaidensis
Cylindrophis ruffus
Cyrtopodion scabrum
Daboia russelii
Dibamus novaeguineae
Diplometopon zarudnyi
Dipsosaurus dorsalis
Echis borkini
Echis carinatus
Echis coloratus
Echis jogeri
Echis khosatzkii
Echis leucogaster
Echis ocellatus
Echis omanensis
Echis pyramidum
Enyalioides laticeps
Eryx jayakari
Eublepharis macularius
Gallotia bravoana
Gallotia caesaris cae
Gallotia caesaris gom
Gallotia galloti eis
Gallotia galloti pal
Gallotia intermedia
Gallotia simonyi
Gambelia wislizenii
Geocalamus acutus
Gerrhopilus mirus
Heloderma suspectum
Hemidactylus adensis
Hemidactylus afarensis
Hemidactylus albopunctatus
Hemidactylus alfarraji
Hemidactylus alkiyumii
Hemidactylus angulatus
Hemidactylus asirensis
Hemidactylus awashensis
Hemidactylus barbierii
Hemidactylus barodanus
Hemidactylus brasilianus
Hemidactylus citernii
Hemidactylus dawudazraqi
Hemidactylus dracaenacolus
Hemidactylus fasciatus
Hemidactylus festivus
Hemidactylus flaviviridis
Hemidactylus forbesii
Hemidactylus foudaii
Hemidactylus frenatus
Hemidactylus funaiolii
Hemidactylus granchii
Hemidactylus granosus
Hemidactylus granti
Hemidactylus hajarensis
Hemidactylus homoeolepis
Hemidactylus imbricatus
Hemidactylus inexpectatus
Hemidactylus inintellectus
Hemidactylus isolepis
Hemidactylus jumailiae
Hemidactylus kurdicus
Hemidactylus laevis
Hemidactylus lanzai
Hemidactylus lavadeserticus
Hemidactylus lemurinus
Hemidactylus longicephalus
Hemidactylus luqueorum
Hemidactylus mabouia
Hemidactylus macropholis
Hemidactylus mandebensis
Hemidactylus masirahensis
Hemidactylus mindiae
Hemidactylus minutus
Hemidactylus montanus
Hemidactylus ophiolepis
Hemidactylus ophiolepoides
Hemidactylus oxyrhinus
Hemidactylus palaichthus
Hemidactylus pauciporosus
Hemidactylus paucituberculatus
Hemidactylus persicus
Hemidactylus platycephalus
Hemidactylus platyurus
Hemidactylus pumilio
Hemidactylus robustus
Hemidactylus ruspolii
